Pelicula,Recomendaciones
Les Miserables,"['The Beautiful Story', 'Bolero: Dance of Life', 'Us Two', 'What War May Bring', 'Itinerary of a Spoiled Child']"
Screamers,"['The Assignment', 'Dog Days', 'Nina Takes a Lover', 'Flowers in the Attic', 'The Adventures of Milo and Otis']"
Nico Icon,"['Stadtgespräch', 'Little Dieter Needs to Fly', 'Stroszek', 'Woyzeck', 'The Enigma of Kaspar Hauser']"
The Crossing Guard,"['Sling Blade', 'Fresh', 'Heaven', 'Smoke', 'The House of Yes']"
The White Balloon,"['We Think the World of You', 'Into the West', 'Princess Protection Program', 'Micky Flanagan: Live - Back In The Game Tour', 'High School Musical 2']"
Things to Do in Denver When You're Dead,"['Kids', 'Fresh', 'Heaven', 'Sling Blade', 'Jackie Brown']"
Antonia's Line,"['How to Get Rid of the Others', 'The Boss of It All', 'Clash of Egos', 'Italian for Beginners', 'The Inheritance']"
Angels and Insects,"['Reckless', 'I Shot Andy Warhol', 'The Playboys', 'The Perez Family', 'The Sum of Us']"
White Squall,"['G.I. Jane', 'The East', 'Cyrus', 'Body of Lies', 'A Good Year']"
Black Sheep,"['Tommy Boy', 'Up in Smoke', 'Pretty in Pink', 'Airplane!', 'Airplane II: The Sequel']"
Nick of Time,"['The Godfather: Part III', 'A Simple Plan', 'Witness', 'Death Wish', 'Juice']"
The Journey of August King,"['Love Jones', 'The Player', 'Sling Blade', 'Smoke', 'The House of Yes']"
Beautiful Girls,"['Cop Land', 'Flirting with Disaster', 'Restoration', 'Jane Eyre', 'Unhook the Stars']"
A Midwinter's Tale,"['Best in Show', 'The Spitfire Grill', 'Chaos Theory', 'A Mighty Wind', 'The American President']"
La Haine,"['Assassin(s)', 'Home for the Holidays', 'Waking the Dead', 'Nell', 'The Adventures of Priscilla, Queen of the Desert']"
Heidi Fleiss: Hollywood Madam,"['Little Criminals', ""Hunt vs Lauda: F1's Greatest Racing Rivals"", ""Louis Theroux: America's Medicated Kids"", 'Louis Theroux: Under The Knife', 'The Lost World of Communism']"
City Hall,"['Beyond Rangoon', 'Othello', 'The American President', 'Forget Paris', 'Ghosts of Mississippi']"
Bottle Rocket,"['Harry and Walter Go To New York', 'Fun with Dick and Jane', 'Boyz n the Hood', 'Jerry Maguire', 'As Good as It Gets']"
Happy Gilmore,"['Cheaper by the Dozen', 'Dirty Work', 'The Wedding Singer', 'DysFunktional Family', 'Neighbors']"
The Bridges of Madison County,"['Trouble with the Curve', 'Fandango', 'Flags of Our Fathers', 'Letters from Iwo Jima', 'Every Which Way But Loose']"
Muppet Treasure Island,"['The Muppet Christmas Carol', ""Emmet Otter's Jug-Band Christmas"", 'Farscape: The Peacekeeper Wars', 'A Muppet Family Christmas', 'Alexander and the Terrible, Horrible, No Good, Very Bad Day']"
Catwalk,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Braveheart,"['Payback: Straight Up', 'One Eight Seven', 'The Right Stuff', 'Apocalypto', 'Divine Madness']"
Taxi Driver,"['Close Encounters of the Third Kind', 'Boyz n the Hood', 'Harry and Walter Go To New York', 'Fun with Dick and Jane', 'The End of the Affair']"
Rumble in the Bronx,"['Teenage Mutant Ninja Turtles', 'Crime Story', 'Mr. Nice Guy', 'First Strike', 'Armour of God II: Operation Condor']"
Margaret's Museum,"['Maelström', 'The Barbarian Invasions', 'Runaway', 'Reel Injun', 'Pink Ribbons, Inc.']"
Happiness Is in the Field,"['Auntie Danielle', 'Priceless', 'Family Resemblances', 'Grande école', 'Intimacy']"
Anne Frank Remembered,"['Stevie', 'Freedom Downtime', 'Tigrero: A Film That Was Never Made', 'The Saltmen of Tibet', '42 Up']"
The Young Poisoner's Handbook,"['Ödipussi', 'A Year Ago in Winter', ""The Stationmaster's Wife"", ""Smilla's Sense of Snow"", 'Rossini']"
The Boys of St. Vincent,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Chungking Express,"['In the Mood for Love', 'Eagle Shooting Heroes', 'Naked', 'Withnail & I', 'Mona Lisa']"
The Star Maker,"[""My Best Friend's Wife"", 'Ovosodo', 'Love Is Eternal While It Lasts', 'Pensavo fosse amore invece era un calesse', 'Scusate il ritardo']"
Flirting with Disaster,"['Restoration', 'Jane Eyre', 'Unhook the Stars', 'The Wings of the Dove', 'The Shipping News']"
Pie in the Sky,"['Cosi', ""I Love You, Don't Touch Me!"", 'Smiling Fish & Goat On Fire', 'Two Ninas', 'Pipe Dream']"
From the Journals of Jean Seberg,"['The New Watchdogs', 'Enter the Battlefield: Life on the Magic - The Gathering Pro Tour', 'Catwalk', 'Unzipped', 'The Endless Summer 2']"
The Neon Bible,"['We Think the World of You', 'The Legend of Hell House', 'Brand: A Second Coming', 'Mississippi Masala', 'The Breakfast Club']"
The Birdcage,"['Everything You Always Wanted to Know About Sex *But Were Afraid to Ask', 'Movers & Shakers', 'Igby Goes Down', 'Inserts', 'Garbo Talks']"
Virgin Mary,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
The Brothers McMullen,"['Enough Said', 'Slums of Beverly Hills', 'The Impostors', 'Ruby Sparks', 'Roll Bounce']"
Bad Boys,"['Bad Boys II', 'Crimson Tide', 'The Ref', 'The Rock', 'Dangerous Minds']"
The Basketball Diaries,"['Above the Rim', 'Blow', 'Boiler Room', 'Menace II Society', 'Set It Off']"
An Awfully Big Adventure,"['Trick', 'My Own Private Idaho', 'The Sleeping Dictionary', 'Deconstructing Harry', 'Tumbleweeds']"
Amateur,"['Tous les soleils', 'Surviving Desire', 'The Baby of Mâcon', 'Trust', 'Ruby & Quentin']"
Apollo 13,"['Closet Land', 'The Paper', 'Liar Liar', 'Fear', 'Parenthood']"
Rob Roy,"['Mrs. Pollifax: Spy', 'The Black Stallion', 'Raging Bull', 'Rocky', 'Rocky II']"
The Addiction,"['Starring Maja', 'The Investigator', 'Session 9', 'Secrets & Lies', 'Found']"
Beyond Rangoon,"['Beyond Rangoon', 'Othello', 'The American President', 'Forget Paris', 'Ghosts of Mississippi']"
Blue in the Face,"['Smoke', 'The House of Yes', 'The Mighty', 'Little Voice', 'Flirting with Disaster']"
Casper,"['Batteries not Included', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'The Money Pit', 'E.T. the Extra-Terrestrial', 'How To Make An American Quilt']"
Clockers,"['Do the Right Thing', 'Crooklyn', 'The Best Man', ""Mo' Better Blues"", 'Jungle Fever']"
Crimson Tide,"['The Rock', 'Bad Boys', 'Dangerous Minds', 'The Ref', 'Bad Boys II']"
Crumb,"['Catwalk', 'Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream']"
Desperado,"['The Faculty', 'From Dusk Till Dawn', 'El Mariachi', 'Gloria', 'Blue Streak']"
Devil in a Blue Dress,"['Antwone Fisher', 'Flashpoint', 'Manhattan Murder Mystery', 'Rudy', 'The Natural']"
Die Hard: With a Vengeance,"['Rapid Fire', 'Kung Pow: Enter the Fist', 'French Connection II', 'Beyond the Valley of the Dolls', 'Grand Canyon']"
Hackers,"['The Pope of Greenwich Village', 'Still of the Night', 'Hoodlum', 'Raging Bull', 'Rocky']"
Jeffrey,"['Happy-Go-Lucky', 'A Sense of History', 'Life Is Sweet', 'Another Year', 'A Good Woman']"
Kids,"['Kids', 'Fresh', 'Heaven', 'Sling Blade', 'Jackie Brown']"
Living in Oblivion,"['Dasvidaniya', 'Box of Moonlight', 'The Green Butchers', 'Australian Rules', 'Silent Nights']"
Love & Human Remains,"['Maelström', 'Seducing Doctor Lewis', 'Paris, France', ""I'll Follow You Down"", 'Cairo Time']"
Mallrats,"['A Better Place', 'Chasing Amy', 'Clerks', 'Zack and Miri Make a Porno', 'Clerks II']"
Mute Witness,"['The Thief Lord', 'Euridice BA 2037', 'Kleinruppin forever', 'Mudhalvan', 'The Wave']"
The Prophecy,"['Planet Terror', 'Scream 4', 'Dr. Black, Mr. Hyde', 'Backstage', 'Ride']"
Reckless,"['Angels and Insects', 'I Shot Andy Warhol', 'Surviving Desire', 'El Norte', 'My Family']"
Safe,"['El Norte', 'Much Ado About Nothing', 'Reckless', 'My Family', 'Crime + Punishment in Suburbia']"
Smoke,"['The House of Yes', 'The Mighty', 'Little Voice', 'Sling Blade', 'Flirting with Disaster']"
The Stars Fell on Henrietta,"['The Apostle', 'Trouble with the Curve', 'A Perfect World', 'The Gauntlet', 'The Dead Pool']"
Strange Days,"['The Element of Crime', 'The Abyss', 'True Lies', 'Final', 'H.']"
Three Wishes,"['A Bronx Tale', 'Shadowlands', 'Last of the Dogmen', 'Serial Mom', 'American History X']"
Total Eclipse,"['Hothead', 'Fedora', 'Tess', 'I as in Icarus', 'Fort Saganne']"
"To Wong Foo, Thanks for Everything! Julie Newmar","['The Money Pit', 'How To Make An American Quilt', ""Schindler's List"", 'Jurassic Park', 'An American Tail']"
Unstrung Heroes,"['Mystery, Alaska', 'Funny Bones', 'The Joy Luck Club', ""A Pyromaniac's Love Story"", 'Prefontaine']"
Unzipped,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
A Walk in the Clouds,"['Flicka', 'Waiting to Exhale', 'Ever After: A Cinderella Story', 'How Stella Got Her Groove Back', 'Working Girl']"
The Browning Version,"['Losing Isaiah', 'Mommie Dearest', 'True Colors', 'Bang the Drum Slowly', 'Regarding Henry']"
Burnt by the Sun,"['The Barber of Siberia', 'The Turkish Gambit', 'Anna Karenina', 'My Blind Date with Life', 'RRRrrrr!!!']"
Before the Rain,"['Dobermann', 'Sister My Sister', 'Richard III', 'Beautiful People', 'Dream Demon']"
Before Sunrise,"[""Alice Doesn't Live Here Anymore"", 'Before Sunset', ""Summer of '42"", 'Crazy, Stupid, Love.', ""You've Got Mail""]"
Billy Madison,"['Bone', 'Billy Jack Goes to Washington', 'Crimes and Misdemeanors', 'Bananas', 'Manhattan']"
Boys on the Side,"['Copycat', 'Natural Born Killers', 'That Night', 'Falling Down', 'Under Siege']"
The Cure,"['Toy Soldiers', 'The Scapegoat', 'The Sandlot', 'Laws of Gravity', 'October Sky']"
Circle of Friends,"['The Magdalene Sisters', 'Dancing at Lughnasa', 'Bloody Sunday', 'Carry On Loving', 'Carry On Matron']"
Clerks,"['Chasing Amy', 'Jay and Silent Bob Strike Back', 'A Better Place', 'Zack and Miri Make a Porno', 'Clerks II']"
Don Juan DeMarco,"['The Virgin Suicides', 'Paris Can Wait', 'Lost in Translation', 'Torch Song Trilogy', '8 Seconds']"
Death and the Maiden,"['The Rapture', 'Mrs. Parker and the Vicious Circle', 'Three Men and a Cradle', 'Deconstructing Harry', 'Tumbleweeds']"
Dolores Claiborne,"['In the Line of Fire', 'Othello', 'City Hall', 'Beyond Rangoon', 'The American President']"
Dumb and Dumber,"['Threesome', 'A Princess for Christmas', 'Taking Chance', 'Coldblooded', 'TalhotBlond']"
Eat Drink Man Woman,"['The Wedding Banquet', 'Pushing Hands', 'Dust in the Wind', ""Vive L'Amour"", 'The Sandwich Man']"
Exotica,"['The Adjuster', 'Leolo', 'Trailer Park Boys: The Movie', 'Hannibal Buress: Live From Chicago', 'Sling Blade']"
Ed Wood,"['Rushmore', 'The Royal Tenenbaums', 'Indian Summer', ""Romy and Michele's High School Reunion"", 'Ruthless People']"
French Kiss,"['Fargo', 'Four Weddings and a Funeral', 'Barton Fink', 'Nell', 'The Big Lebowski']"
Forget Paris,"['Forget Paris', 'Othello', 'City Hall', 'Beyond Rangoon', 'Little Big League']"
A Goofy Movie,"['Tinker Bell and the Legend of the NeverBeast', 'Tarzan II', 'Aladdin', 'Hercules', 'Tarzan']"
Fluke,"['The Champ', 'The Man in the Moon', 'Of Mice and Men', 'Fame', 'CrissCross']"
Hoop Dreams,"['Deconstructing Harry', 'Tumbleweeds', 'My Own Private Idaho', 'The Sleeping Dictionary', 'Trick']"
Heavenly Creatures,"['Bad Taste', 'Forgotten Silver', 'Braindead', 'Once Were Warriors', 'Goodbye Pork Pie']"
Houseguest,"['Simon Birch', 'While You Were Sleeping', 'A Low Down Dirty Shame', 'Powder', 'Unstrung Heroes']"
Immortal Beloved,"['One Eight Seven', 'Payback: Straight Up', 'The Man without a Face', 'Payback', 'Apocalypto']"
Heavyweights,"['Tall Tale', 'The Three Musketeers', 'The Parent Trap', ""Squanto: A Warrior's Tale"", ""Wild Hearts Can't Be Broken""]"
The Hunted,"[""Carlito's Way"", 'Macon County Line', 'Gotcha!', 'Cat Run', 'Trespass']"
Interview with the Vampire,"['Risky Business', '1991: The Year Punk Broke', 'M. Butterfly', 'The Butcher Boy', 'Michael Collins']"
Just Cause,"['The Yakuza', 'Entrapment', 'The Pelican Brief', 'The Fugitive', 'The Last of Sheila']"
Star Wars,"['The Empire Strikes Back', 'Return of the Jedi', 'Sky Riders', 'Speed', 'Star Wars: Episode I - The Phantom Menace']"
Little Women,"['The Age of Innocence', 'Poetic Justice', ""St. Elmo's Fire"", 'Closer', ""Can't Hardly Wait""]"
A Little Princess,"['Quest for Camelot', 'Oh, God!', ""Daffy Duck's Quackbusters"", 'Stand and Deliver', 'Running on Empty']"
Ladybird Ladybird,"['Riff-Raff', 'The Englishman Who Went Up a Hill But Came Down a Mountain', 'Bread and Roses', 'We Think the World of You', 'I Know You Know']"
L'Enfer,"['The Wind Will Carry Us', 'The Fairy', 'Tom at the Farm', 'Laurence Anyways', 'Every Other Weekend']"
Like Water for Chocolate,"['Nelly and Monsieur Arnaud', 'Country Life', 'Flirt', 'Venice', 'The Whole Wide World']"
Legends of the Fall,"['Burlesque', 'Shakespeare in Love', 'About Alex', 'Family Weekend', 'The Last Samurai']"
Major Payne,"['The Wizard', 'Cloak & Dagger', 'October Sky', ""Cheech & Chong's Next Movie"", 'Smokey and the Bandit']"
Little Odessa,"['Deconstructing Harry', 'Tumbleweeds', 'My Own Private Idaho', 'The Sleeping Dictionary', 'The Rapture']"
Losing Isaiah,"['Losing Isaiah', 'Mommie Dearest', 'True Colors', 'Bang the Drum Slowly', 'Regarding Henry']"
The Madness of King George,"['Longtime Companion', 'The Perez Family', 'The Sum of Us', 'The Playboys', 'Little Secrets']"
Mary Shelley's Frankenstein,"['Wind', 'The Virgin Suicides', 'Paris Can Wait', 'Lost in Translation', 'THX 1138']"
Miracle on 34th Street,"['Max Dugan Returns', 'Because of Winn-Dixie', 'Edward Scissorhands', 'Grand Canyon', 'The Verdict']"
My Family,"['Lost in Translation', 'The Virgin Suicides', 'Paris Can Wait', 'Youth Without Youth', 'Reckless']"
Murder in the First,"['L.A. Confidential', 'The Mists of Avalon', 'Steelyard Blues', 'The Man Who Saw Tomorrow', 'Stand and Deliver']"
Nobody's Fool,"['Twilight', 'Terms of Endearment', 'Gung Ho', 'Little Darlings', 'First Monday in October']"
Nell,"['Home for the Holidays', 'Waking the Dead', 'Beyond the Valley of the Dolls', 'French Kiss', 'Grand Canyon']"
New Jersey Drive,"['Red Hook Summer', 'The Original Kings of Comedy', 'Touched with Fire', '4 Little Girls', 'When the Levees Broke: A Requiem in Four Acts']"
Nina Takes a Lover,"['Brainscan', 'Devdas', ""An Autumn's Tale"", 'Mera Naam Joker', 'Love and Magnets']"
Natural Born Killers,"['The Client', 'Falling Down', 'Under Siege', 'Copycat', 'That Night']"
Only You,"['It Could Happen to You', 'Sleepless in Seattle', 'Nothing in Common', 'Husbands and Wives', ""My Best Friend's Wedding""]"
Once Were Warriors,"['Forgotten Silver', 'Broken English', 'Goodbye Pork Pie', 'Braindead', 'Bad Taste']"
Outbreak,"['U.S. Marshals', 'A Perfect Murder', 'The Terminal Man', ""The Devil's Advocate"", 'Dreams']"
Leon: The Professional,"['Go', 'Gloria', 'True Believer', 'El Mariachi', 'White Nights']"
The Perez Family,"['The Sum of Us', 'The Playboys', 'Longtime Companion', 'A Prayer for the Dying', 'Wild at Heart']"
A Pyromaniac's Love Story,"['Prefontaine', 'Mystery, Alaska', 'Funny Bones', 'The Joy Luck Club', 'Unstrung Heroes']"
Pulp Fiction,"['Four Rooms', 'Kill Bill: Vol. 2', 'From Dusk Till Dawn', 'Kill Bill: Vol. 1', 'Erin Brockovich']"
Panther,"['S.F.W.', 'Waking the Dead', 'The Big Lebowski', 'A Home of Our Own', 'The Adventures of Priscilla, Queen of the Desert']"
Pushing Hands,"['The Wedding Banquet', 'Eat Drink Man Woman', 'Arianna', 'Bill Maher: Victory Begins at Home', 'Ricky Gervais: Out of England - The Stand-Up Special']"
Priest,"['A Home of Our Own', 'Paperback Hero', 'The Adventures of Priscilla, Queen of the Desert', 'What Dreams May Come', ""Gridlock'd""]"
Quiz Show,"['Ordinary People', 'A Civil Action', 'The Horse Whisperer', ""All the President's Men"", 'The Conspirator']"
Picture Bride,"['Let Go', 'Generation Kill', 'The Emperor and the Assassin', 'Die weisse Rose', 'Joan of Arc']"
Queen Margot,"['The Housekeeper', 'Sounds of Sand', 'Renaissance', 'Mondo', 'Love Forbidden']"
The Quick and the Dead,"['Rudy', 'The Natural', 'Songwriter', 'I Love You to Death', 'Outlaw Justice']"
Roommates,"['The Hand that Rocks the Cradle', 'The Associate', 'Blind Fury', 'Pitch Black', 'Mystery, Alaska']"
Three Colors: Red,"['A Short Film About Love', 'Interrogation', 'Three Colors: White', 'Hecate', 'The Swindle']"
Three Colors: Blue,"['Betty', 'Priceless', 'Grande école', 'Black Venus', ""Playing 'In the Company of Men'""]"
Three Colors: White,"['Family Resemblances', 'Priceless', 'My Blind Date with Life', 'RRRrrrr!!!', 'Grande école']"
"Red Firecracker, Green Firecracker","['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
The Swan Princess,"['Corto Maltese: La maison dorée de Samarkand', 'Rabbit', 'Mount Head', ""Beyond The Mind's Eye"", 'Fresh Guacamole']"
The Secret of Roan Inish,"['The Obama Deception', 'Bridge To Terabithia', 'Man van staal', 'Sleeping Beauty', 'The Amazing Mr Blunden']"
Stargate,"['Independence Day', 'Total Recall', 'The Thirteenth Floor', 'Anonymous', 'Thumb Wars: The Phantom Cuticle']"
The Santa Clause,"['The Odd Life of Timothy Green', 'Freaky Friday', 'Hocus Pocus', 'The Kid', 'The Parent Trap']"
The Shawshank Redemption,"['Bait', 'Proof of Life', 'The Spitfire Grill', 'Best in Show', 'Chaos Theory']"
Shallow Grave,"['A Life Less Ordinary', 'A Home of Our Own', ""Gridlock'd"", 'Four Weddings and a Funeral', 'Elizabeth']"
Suture,"['We Are From The Future', 'Test', 'Deceptive Practice: The Mysteries and Mentors of Ricky Jay', 'The Closed Circuit', 'The Tunnel']"
Strawberry and Chocolate,"['Trémulo', 'Miss Bala', 'Deseo', 'Midaq Alley', 'Dance with the Devil']"
Swimming with Sharks,"['Casualties', 'Frank & Jesse', ""Teresa's Tattoo"", 'Female Fight Club', 'Short Time']"
The Sum of Us,"['The Sum of Us', 'The Playboys', 'Longtime Companion', 'A Prayer for the Dying', 'Wild at Heart']"
To Live,"['Purple Butterfly', 'A City of Sadness', '14 Blades', 'Sacrifice', 'Raise the Red Lantern']"
Tales from the Crypt: Demon Knight,"['Halloween II', 'The Serpent and the Rainbow', 'Ghost Story', 'Into the Night', 'Gotcha!']"
Star Trek: Generations,"['Star Trek VI: The Undiscovered Country', 'Star Trek II: The Wrath of Khan', 'Star Trek III: The Search for Spock', 'Star Trek: Insurrection', 'Star Trek: Nemesis']"
Tommy Boy,"['Tommy Boy', 'Up in Smoke', 'Pretty in Pink', 'Airplane!', 'Airplane II: The Sequel']"
Vanya on 42nd Street,"['Afterglow', 'Redbelt', 'Art School Confidential', 'Standard Operating Procedure', 'Inside Job']"
The Walking Dead,"['New Jack City', 'Three Wishes', 'A Bronx Tale', 'The Bear', 'Serial Mom']"
What's Eating Gilbert Grape,"['Children of a Lesser God', 'Days of Heaven', 'Love Story', 'Falling in Love', 'The Great Gatsby']"
While You Were Sleeping,"['Simon Birch', 'Houseguest', 'A Low Down Dirty Shame', 'Powder', ""A Pyromaniac's Love Story""]"
The War,"['On Golden Pond', 'The River', 'Cry Freedom', ""Lorenzo's Oil"", 'Mask']"
Muriel's Wedding,"['Proof', 'Black Cat, White Cat', 'Georgia', 'Oranges', 'The Flower of My Secret']"
Ace Ventura: Pet Detective,"['Stay Tuned', 'Robin Hood: Prince of Thieves', 'Incognito', 'Ace Ventura: When Nature Calls', 'The Exorcist III']"
"The Adventures of Priscilla, Queen of the Desert","['A Home of Our Own', ""Gridlock'd"", 'Paperback Hero', 'What Dreams May Come', 'S.F.W.']"
Backbeat,"['King of the Hill', 'Reach The Rock', 'Something New', 'Grace of My Heart', 'The Trigger Effect']"
Bitter Moon,"['Valmont', 'My Favorite Season', 'Ponette', 'My Own Private Idaho', 'The Sleeping Dictionary']"
Bullets Over Broadway,"['The Matador', 'The Crossing Guard', 'Smoke', 'The House of Yes', 'The Mighty']"
